"Date","Temp"
"1982-05-27",12.9
"1982-05-28",14.0
"1982-05-29",12.5
"1982-05-30",11.5
"1982-05-31",7.0
"1982-06-01",7.1
"1982-06-02",9.0
"1982-06-03",3.1
"1982-06-04",2.5
"1982-06-05",0.0
"1982-06-06",1.6
"1982-06-07",2.6
"1982-06-08",5.7
"1982-06-09",2.3
"1982-06-10",4.5
"1982-06-11",8.2
"1982-06-12",6.9
"1982-06-13",7.3
"1982-06-14",6.0
"1982-06-15",7.3
"1982-06-16",7.6
"1982-06-17",8.0
"1982-06-18",8.0
"1982-06-19",6.8
"1982-06-20",7.3
"1982-06-21",6.2
"1982-06-22",6.9
"1982-06-23",8.9
"1982-06-24",4.0
"1982-06-25",1.3
"1982-06-26",0.8
"1982-06-27",4.3
"1982-06-28",7.3
"1982-06-29",7.7
"1982-06-30",9.0
"1982-07-01",4.2
"1982-07-02",1.6
"1982-07-03",2.6
"1982-07-04",3.4
"1982-07-05",3.9
"1982-07-06",7.0
"1982-07-07",7.8
"1982-07-08",5.3
"1982-07-09",2.4
"1982-07-10",2.8
"1982-07-11",4.0
"1982-07-12",7.5
"1982-07-13",7.8
"1982-07-14",5.6
"1982-07-15",3.3
"1982-07-16",5.0
"1982-07-17",3.7
"1982-07-18",3.9
"1982-07-19",5.2
"1982-07-20",0.2
"1982-07-21",0.8
"1982-07-22",0.9
"1982-07-23",3.5
"1982-07-24",6.6
"1982-07-25",9.5
"1982-07-26",9.0
"1982-07-27",3.5
"1982-07-28",4.5
"1982-07-29",5.7
"1982-07-30",5.6
"1982-07-31",7.1
"1982-08-01",9.7
"1982-08-02",8.3
"1982-08-03",9.1
"1982-08-04",2.8
"1982-08-05",2.2
"1982-08-06",4.5
"1982-08-07",3.8
"1982-08-08",3.8
"1982-08-09",6.2
"1982-08-10",11.5
"1982-08-11",10.2
"1982-08-12",7.9
"1982-08-13",9.0
"1982-08-14",9.5
"1982-08-15",6.0
"1982-08-16",8.2
"1982-08-17",9.2
"1982-08-18",4.3
"1982-08-19",6.6
"1982-08-20",9.4
"1982-08-21",13.2
"1982-08-22",6.6
"1982-08-23",5.1
"1982-08-24",12.1
"1982-08-25",11.2
"1982-08-26",8.5
"1982-08-27",4.6
"1982-08-28",7.0
"1982-08-29",14.2
"1982-08-30",12.7
"1982-08-31",7.6
"1982-09-01",4.0
"1982-09-02",10.0
"1982-09-03",10.5
"1982-09-04",5.0
"1982-09-05",4.5
"1982-09-06",8.2
"1982-09-07",4.3
"1982-09-08",9.8
"1982-09-09",5.8
"1982-09-10",5.0
"1982-09-11",8.5
"1982-09-12",9.0
"1982-09-13",3.6
"1982-09-14",6.7
"1982-09-15",6.7
"1982-09-16",10.1
"1982-09-17",15.0
"1982-09-18",8.9
"1982-09-19",5.7
"1982-09-20",4.2
"1982-09-21",4.0
"1982-09-22",5.3
"1982-09-23",6.3
"1982-09-24",8.5
"1982-09-25",11.5
"1982-09-26",7.7
"1982-09-27",9.2
"1982-09-28",7.8
"1982-09-29",6.3
"1982-09-30",6.3
"1982-10-01",8.6
"1982-10-02",6.1
"1982-10-03",13.2
"1982-10-04",9.9
"1982-10-05",4.7
"1982-10-06",5.8
"1982-10-07",14.9
"1982-10-08",10.7
"1982-10-09",8.6
"1982-10-10",9.4
"1982-10-11",5.7
"1982-10-12",10.9
"1982-10-13",13.1
"1982-10-14",10.4
"1982-10-15",8.2
"1982-10-16",9.8
"1982-10-17",7.5
"1982-10-18",5.8
"1982-10-19",9.8
"1982-10-20",7.9
"1982-10-21",8.7
"1982-10-22",10.0
"1982-10-23",10.6
"1982-10-24",8.0
"1982-10-25",10.2
"1982-10-26",15.1
"1982-10-27",13.9
"1982-10-28",9.2
"1982-10-29",9.0
"1982-10-30",13.2
"1982-10-31",7.0
"1982-11-01",10.6
"1982-11-02",6.9
"1982-11-03",9.5
"1982-11-04",12.5
"1982-11-05",13.6
"1982-11-06",17.7
"1982-11-07",16.0
"1982-11-08",11.3
"1982-11-09",10.5
"1982-11-10",14.4
"1982-11-11",10.3
"1982-11-12",9.0
"1982-11-13",11.1
"1982-11-14",14.5
"1982-11-15",18.0
"1982-11-16",12.8
"1982-11-17",10.7
"1982-11-18",9.1
"1982-11-19",8.7
"1982-11-20",12.4
"1982-11-21",12.6
"1982-11-22",10.3
"1982-11-23",13.7
"1982-11-24",16.0
"1982-11-25",15.8
"1982-11-26",12.1
"1982-11-27",12.5
"1982-11-28",12.2
"1982-11-29",13.7
"1982-11-30",16.1
"1982-12-01",15.5
"1982-12-02",10.3
"1982-12-03",10.5
"1982-12-04",11.0
"1982-12-05",11.9
"1982-12-06",13.0
"1982-12-07",12.2
"1982-12-08",10.6
"1982-12-09",13.0
"1982-12-10",13.0
"1982-12-11",12.2
"1982-12-12",12.6
"1982-12-13",18.7
"1982-12-14",15.2
"1982-12-15",15.3
"1982-12-16",13.9
"1982-12-17",15.8
"1982-12-18",13.0
"1982-12-19",13.0
"1982-12-20",13.7
"1982-12-21",12.0
"1982-12-22",10.8
"1982-12-23",15.6
"1982-12-24",15.3
"1982-12-25",13.9
"1982-12-26",13.0
"1982-12-27",15.3
"1982-12-28",16.3
"1982-12-29",15.8
"1982-12-30",17.7
"1982-12-31",16.3
